No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF,∆ INGRESOS OPERACIONALES 2017-2018,∆ GANANCIA (PERDIDA) 2017-2018,∆ ACTIVOS 2017-2018,∆ TOTAL PASIVOS 2017-2018,∆ TOTAL PATRIMONIO 2017-2018
232,830039568,ASTRAZENECA COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,1735197600.0,71076760.0,1102250120.0,794126690.0,308123430.0,1649441550.0,95245040.0,910330810.0,673284140.0,237046670.0,NIIF PLENAS-GRUPO 1,85756050.0,-24168280.0,191919310.0,120842550.0,71076760.0
233,800244387,ARCOS DORADOS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,I5611 - Expendio a la mesa de comidas preparadas,SERVICIOS,3896420560.0,-255764020.0,2739530610.0,2331457340.0,408073270.0,3636844290.0,-282061190.0,2511456150.0,2182421810.0,329034340.0,NIIF PLENAS-GRUPO 1,259576270.0,26297170.0,228074460.0,149035530.0,79038930.0
234,800014246,ESTYMA ESTUDIOS Y MANEJOS S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,2319000890.0,120838060.0,2303069480.0,1589327490.0,713741990.0,1821475840.0,77313310.0,2156899670.0,1573352430.0,583547240.0,NIIF PYMES-GRUPO 2,497525050.0,43524750.0,146169810.0,15975060.0,130194750.0
235,860026759,CARTONES AMERICA S.A. CAME,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",MANUFACTURA,3248836520.0,337994350.0,4546222010.0,2778423260.0,1767798750.0,2941439690.0,158791440.0,4284112960.0,2883253280.0,1400859680.0,NIIF PLENAS-GRUPO 1,307396830.0,179202910.0,262109050.0,-104830020.0,366939070.0
236,830016868,AGROAVICOLA SAN MARINO SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,A0145 - Cría de aves de corral,AGROPECUARIO,3107345550.0,36744490.0,1991776680.0,1211083180.0,780693500.0,2728063450.0,47331150.0,1759913940.0,988011380.0,771902560.0,NIIF PYMES-GRUPO 2,379282100.0,-10586660.0,231862740.0,223071800.0,8790940.0
237,900273686,COMERCIALIZADORA MERCALDAS S.A,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,1789298730.0,30377020.0,765400920.0,462478300.0,302922620.0,1759291970.0,28479270.0,703434300.0,429778110.0,273656190.0,NIIF PYMES-GRUPO 2,30006760.0,1897750.0,61966620.0,32700190.0,29266430.0
238,890301960,CARVAJAL PULPA Y PAPEL S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C1701 - Fabricación de pulpas (pastas) celulósicas; papel y cartón,MANUFACTURA,7463144330.0,460737530.0,8327568590.0,4207756470.0,4119812120.0,6884199150.0,334375550.0,7893144270.0,4104330360.0,3788813910.0,NIIF PLENAS-GRUPO 1,578945180.0,126361980.0,434424320.0,103426110.0,330998210.0
239,860047657,PRACO DIDACOL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,4682803460.0,78729870.0,4728569480.0,1972506440.0,2756063040.0,4152615860.0,123967240.0,4060166190.0,1228461470.0,2831704720.0,NIIF PLENAS-GRUPO 1,530187600.0,-45237370.0,668403290.0,744044970.0,-75641680.0
240,830065609,CHANEME COMERCIAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",COMERCIO,1370486900.0,189014010.0,1592604850.0,903047350.0,689557500.0,1257026260.0,103232880.0,1638826330.0,1138877170.0,499949160.0,NIIF PLENAS-GRUPO 1,113460640.0,85781130.0,-46221480.0,-235829820.0,189608340.0
242,860050906,ADECCO COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,N7820 - Actividades de agencias de empleo temporal,SERVICIOS,4290248620.0,3934290.0,594566060.0,386190160.0,208375900.0,3196945500.0,18151950.0,495730510.0,253660900.0,2420.6961,NIIF PLENAS-GRUPO 1,1093303120.0,-14217660.0,98835550.0,132529260.0,208373479.3039
243,860013704,"""GASES INDUSTRIALES DE COLOMBIA S.A. """,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C2011 - Fabricación de sustancias y productos químicos básicos,MANUFACTURA,1704809290.0,167355380.0,2745702490.0,697253450.0,2048449040.0,1705696050.0,148826130.0,2686447190.0,701489940.0,1984957250.0,NIIF PLENAS-GRUPO 1,-886760.0,18529250.0,59255300.0,-4236490.0,63491790.0
244,890103400,ALIMENTOS CONCENTRADOS DEL CARIBE S.A.,SUPERSOCIEDADES,Costa Atlantica,ATLANTICO,SOLEDAD-ATLANTICO,A0145 - Cría de aves de corral,AGROPECUARIO,3235552430.0,32343270.0,3088785200.0,2136423730.0,952361470.0,2926901900.0,30693280.0,2885993130.0,1965974930.0,920018200.0,NIIF PLENAS-GRUPO 1,308650530.0,1649990.0,202792070.0,170448800.0,32343270.0
245,890906397,FERRO COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GIRARDOTA-ANTIOQUIA,C2011 - Fabricación de sustancias y productos químicos básicos,MANUFACTURA,1546892760.0,8566300.0,1629935000.0,494421250.0,1135513750.0,1497157270.0,43745340.0,1461399450.0,423444820.0,1037954630.0,NIIF PLENAS-GRUPO 1,49735490.0,-35179040.0,168535550.0,70976430.0,97559120.0
247,860007955,DETERGENTES LTDA.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",MANUFACTURA,5279592480.0,246670730.0,6034872730.0,3940617000.0,2094255730.0,6085271040.0,481877730.0,5655444360.0,3289122720.0,2366321640.0,NIIF PLENAS-GRUPO 1,-805678560.0,-235207000.0,379428370.0,651494280.0,-272065910.0
248,830028931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",COMERCIO,26366021890.0,133265520.0,13455006210.0,11987147700.0,1467858510.0,27687340040.0,170593080.0,11720104230.0,10385511240.0,1334592990.0,NIIF PLENAS-GRUPO 1,-1321318150.0,-37327560.0,1734901980.0,1601636460.0,133265520.0
249,811010832,VEHICULOS DEL CAMINO S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,2282505710.0,15716570.0,616616600.0,527344750.0,89271850.0,2035688750.0,9720940.0,455778880.0,405730360.0,50048520.0,NIIF PLENAS-GRUPO 1,246816960.0,5995630.0,160837720.0,121614390.0,39223330.0
250,900208029,Logytech Mobile SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,SERVICIOS,1409961590.0,-54422550.0,702074090.0,701729380.0,344710.0,1733523130.0,-41551000.0,801975920.0,752905440.0,49070480.0,NIIF PLENAS-GRUPO 1,-323561540.0,-12871550.0,-99901830.0,-51176060.0,-48725770.0
251,891501133,INGENIO LA CABAÑA S.A,SUPERSOCIEDADES,Costa Pacífica,CAUCA,GUACHENE-CAUCA,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,3691762650.0,47953370.0,10991953320.0,5560260110.0,5431693210.0,3912264210.0,112286930.0,10810994290.0,5416201960.0,5394792330.0,NIIF PLENAS-GRUPO 1,-220501560.0,-64333560.0,180959030.0,144058150.0,36900880.0
252,800248617,"""RUQUIM S.A.S.
""
""RUQUIM S.A.S.
""",SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,SOLEDAD-ATLANTICO,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,1687762770.0,34818550.0,349267250.0,179233250.0,170034000.0,1667833280.0,22385670.0,374476680.0,239261230.0,135215450.0,NIIF PYMES-GRUPO 2,19929490.0,12432880.0,-25209430.0,-60027980.0,34818550.0
253,900783939,BAXALTA COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,2777654380.0,59952000.0,2505692660.0,1921241660.0,584451000.0,2090638840.0,226730320.0,1864734610.0,1340235610.0,524499000.0,NIIF PLENAS-GRUPO 1,687015540.0,-166778320.0,640958050.0,581006050.0,59952000.0
254,800100159,COMPAÑIA DE COSMETICOS  VOTRE PASSION SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,COMERCIO,3231101060.0,-14116450.0,328425190.0,375719120.0,-47293930.0,3390492340.0,-80980710.0,364731140.0,397908620.0,-33177480.0,NIIF PYMES-GRUPO 2,-159391280.0,66864260.0,-36305950.0,-22189500.0,-14116450.0
256,860508392,SERVIOPTICA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4690 - Comercio al por mayor no especializado,COMERCIO,1802778030.0,154417380.0,1101572610.0,378728430.0,722844180.0,1645785760.0,123395860.0,867504000.0,264968900.0,602535100.0,NIIF PLENAS-GRUPO 1,156992270.0,31021520.0,234068610.0,113759530.0,120309080.0
258,800136835,CENTURYLINK COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6190 - Otras actividades de telecomunicaciones,SERVICIOS,3261867680.0,149381460.0,4953836770.0,1944813270.0,3009023500.0,3224130850.0,265272570.0,4635902400.0,1776260360.0,2859642040.0,NIIF PLENAS-GRUPO 1,37736830.0,-115891110.0,317934370.0,168552910.0,149381460.0
259,900117087,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S.A. USUARIO OPERADOR DE ZONA FRANCA,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA-MARTA-MAGDALENA,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,MANUFACTURA,2933369390.0,47070590.0,936591110.0,461678560.0,474912550.0,2295318620.0,27113410.0,966506550.0,462197180.0,504309370.0,NIIF PYMES-GRUPO 2,638050770.0,19957180.0,-29915440.0,-518620.0,-29396820.0
260,800110980,ACCENTURE,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,SERVICIOS,2371248990.0,-14536970.0,1437794230.0,1411723510.0,26070720.0,1892701280.0,-141613710.0,1140394730.0,1263375240.0,-122980510.0,NIIF PLENAS-GRUPO 1,478547710.0,127076740.0,297399500.0,148348270.0,149051230.0
261,890206051,ORGANIZACION SERVICIOS Y ASESORIAS SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,N7820 - Actividades de agencias de empleo temporal,SERVICIOS,1652314330.0,14094320.0,308170510.0,183853070.0,124317440.0,1600648680.0,16003040.0,283427790.0,165636120.0,117791670.0,NIIF PYMES-GRUPO 2,51665650.0,-1908720.0,24742720.0,18216950.0,6525770.0
262,817000747,COMPAÑIA INTERNACIONAL DE ALIMENTOS SAS  COMPAÑIA INTERNACIONAL DE ALIMENTOS SAS,SUPERSOCIEDADES,Costa Pacífica,CAUCA,CALOTO-CAUCA,C1089 - Elaboración de otros productos alimenticios n.c.p.,MANUFACTURA,1551686420.0,82669130.0,951579110.0,527360210.0,424218900.0,1894421500.0,108050150.0,956343820.0,607322280.0,349021540.0,NIIF PLENAS-GRUPO 1,-342735080.0,-25381020.0,-4764710.0,-79962070.0,75197360.0
263,900174468,TERNIUM SIDERURGICA DE CALDAS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,C2410 - Industrias básicas de hierro y de acero,MANUFACTURA,3715846440.0,-72624270.0,4067874580.0,2141942720.0,1925931860.0,3413211830.0,61845410.0,3110312720.0,1268587920.0,1841724800.0,NIIF PLENAS-GRUPO 1,302634610.0,-134469680.0,957561860.0,873354800.0,84207060.0
264,890901271,CONTEGRAL S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,17402814900.0,775539700.0,11782584730.0,6071349570.0,5711235160.0,16678111160.0,844581050.0,10815140940.0,5704611220.0,5110529720.0,NIIF PLENAS-GRUPO 1,724703740.0,-69041350.0,967443790.0,366738350.0,600705440.0
265,900017459,INVERSIONES FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,K6613 - Otras actividades relacionadas con el mercado de valores,SERVICIOS,1526009920.0,1541288140.0,11970085410.0,907986650.0,11062098760.0,1223467510.0,1267682780.0,11504591140.0,350678930.0,11153912210.0,NIIF PLENAS-GRUPO 1,302542410.0,273605360.0,465494270.0,557307720.0,-91813450.0
267,890300225,COÉXITO S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",COMERCIO,4883067240.0,160446140.0,2323559890.0,1151721970.0,1171837920.0,4680621220.0,164674540.0,2238934350.0,1096532610.0,1142401740.0,NIIF PLENAS-GRUPO 1,202446020.0,-4228400.0,84625540.0,55189360.0,29436180.0
268,822000851,DISTRIBUCIONES HERNANDEZ GOMEZ LTDA,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,1371859220.0,2763960.0,265776770.0,204160060.0,61616710.0,1219418440.0,-1201030.0,258090470.0,199450570.0,58639900.0,NIIF PYMES-GRUPO 2,152440780.0,3964990.0,7686300.0,4709490.0,2976810.0
269,800198020,CARNES CASABLANCA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,1516437110.0,27833980.0,879782180.0,752141290.0,127640890.0,1372344090.0,24553150.0,685246870.0,585439960.0,99806910.0,NIIF PYMES-GRUPO 2,144093020.0,3280830.0,194535310.0,166701330.0,27833980.0
270,890300794,PLASTICOS RIMAX SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,C2229 - Fabricación de artículos de plástico n.c.p.,MANUFACTURA,1852567170.0,71664000.0,1964666410.0,1200427510.0,764238900.0,1743318190.0,47249200.0,1927835680.0,1172090930.0,755744750.0,NIIF PLENAS-GRUPO 1,109248980.0,24414800.0,36830730.0,28336580.0,8494150.0
271,860001307,DISTRIBUIDORA NISSAN S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,14179954630.0,431320870.0,7276173080.0,3958429680.0,3317743400.0,13394972820.0,483048530.0,7256941560.0,4239534370.0,3017407190.0,NIIF PLENAS-GRUPO 1,784981810.0,-51727660.0,19231520.0,-281104690.0,300336210.0
272,891856457,INVERSIONES ELDORADO S.A.S,SUPERSOCIEDADES,Centro - Oriente,BOYACA,DUITAMA-BOYACA,A0145 - Cría de aves de corral,AGROPECUARIO,1398721780.0,89001160.0,1148041310.0,600618040.0,547423270.0,1250165330.0,82962270.0,1062304910.0,483027450.0,579277460.0,NIIF PYMES-GRUPO 2,148556450.0,6038890.0,85736400.0,117590590.0,-31854190.0
273,860002120,IBM DE COLOMBIA & CIA SCA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,SERVICIOS,9253724630.0,474953210.0,5991576500.0,4747890320.0,1243686180.0,8584751650.0,-475748210.0,6398511760.0,5706405860.0,692105900.0,NIIF PLENAS-GRUPO 1,668972980.0,950701420.0,-406935260.0,-958515540.0,551580280.0
275,890301463,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",MANUFACTURA,8951607240.0,508183200.0,5485935790.0,2760666130.0,2725269660.0,8374574120.0,471446730.0,5706690780.0,3515663100.0,2191027680.0,NIIF PLENAS-GRUPO 1,577033120.0,36736470.0,-220754990.0,-754996970.0,534241980.0
276,860014659,DOW QUIMICA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2013 - Fabricación de plásticos en formas primarias,MANUFACTURA,6319819420.0,-54717670.0,3795502610.0,2892791030.0,902711580.0,5970362090.0,549446400.0,3443064880.0,2462605690.0,980459190.0,NIIF PLENAS-GRUPO 1,349457330.0,-604164070.0,352437730.0,430185340.0,-77747610.0
278,890903035,TERMOTECNICA COINDUSTRIAL S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,2252384710.0,183314150.0,6141357550.0,1368145660.0,4773211890.0,2968412750.0,528111030.0,6527156150.0,1729074540.0,4798081610.0,NIIF PLENAS-GRUPO 1,-716028040.0,-344796880.0,-385798600.0,-360928880.0,-24869720.0
279,900160905,PIONEER DE COLOMBIA SDAD LTDA.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,2337109780.0,153419920.0,2678518550.0,336780050.0,2341738500.0,1221074830.0,-157123960.0,1927650350.0,253465270.0,1674185080.0,NIIF PYMES-GRUPO 2,1116034950.0,310543880.0,750868200.0,83314780.0,667553420.0
280,900491889,MASSER S.A.S.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,14045946860.0,-40103790.0,465858310.0,398162790.0,67695520.0,12567907740.0,-86218110.0,457488820.0,435189510.0,22299310.0,NIIF PLENAS-GRUPO 1,1478039120.0,46114320.0,8369490.0,-37026720.0,45396210.0
282,890806999,ARMETALES S.A,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,1848148830.0,14720500.0,651155180.0,482313610.0,168841570.0,1642531710.0,4794040.0,559814180.0,408572260.0,151241920.0,NIIF PLENAS-GRUPO 1,205617120.0,9926460.0,91341000.0,73741350.0,17599650.0
283,890922586,Texcomercial - Texco SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,G4690 - Comercio al por mayor no especializado,COMERCIO,1748266310.0,16750310.0,600030900.0,346635600.0,253395300.0,1807848580.0,633280.0,705117830.0,469738780.0,235379050.0,NIIF PLENAS-GRUPO 1,-59582270.0,16117030.0,-105086930.0,-123103180.0,18016250.0
284,890101815,JOHNSON & JOHNSON DE COLOMBIA S.A,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C2013 - Fabricación de plásticos en formas primarias,MANUFACTURA,11069130400.0,-230116300.0,10679286910.0,5826339100.0,4852947810.0,9888692510.0,95413080.0,9658382150.0,4577452170.0,5080929980.0,NIIF PLENAS-GRUPO 1,1180437890.0,-325529380.0,1020904760.0,1248886930.0,-227982170.0
285,890903995,AGAVAL SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,COMERCIO,1481465440.0,38389600.0,1225386800.0,749992180.0,475394620.0,1378204620.0,27290300.0,1141890820.0,734924150.0,406966670.0,NIIF PLENAS-GRUPO 1,103260820.0,11099300.0,83495980.0,15068030.0,68427950.0
286,800166199,DELTEC SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,SERVICIOS,1664901090.0,83416420.0,1223787750.0,734026790.0,489760960.0,1393648780.0,37538660.0,994769510.0,575372150.0,419397360.0,NIIF PYMES-GRUPO 2,271252310.0,45877760.0,229018240.0,158654640.0,70363600.0
287,830111367,SUDESPENSA BARRAGAN S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,1579558410.0,-29995380.0,1162208110.0,693276800.0,468931310.0,1714842840.0,28075700.0,1431843720.0,932917030.0,498926690.0,NIIF PLENAS-GRUPO 1,-135284430.0,-58071080.0,-269635610.0,-239640230.0,-29995380.0
288,890115406,A CONSTRUIR S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,1912746580.0,110156130.0,1486910270.0,613674940.0,873235330.0,1385365670.0,76664720.0,1676123130.0,927108180.0,749014950.0,NIIF PYMES-GRUPO 2,527380910.0,33491410.0,-189212860.0,-313433240.0,124220380.0
289,860507710,AUTO STOK SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,1771541730.0,-25363320.0,885037940.0,649317940.0,235720000.0,2001053000.0,-14971780.0,968606070.0,707521550.0,261084520.0,NIIF PYMES-GRUPO 2,-229511270.0,-10391540.0,-83568130.0,-58203610.0,-25364520.0
290,891401705,INGENIO RISARALDA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,3204541580.0,12861870.0,4804610950.0,2858995750.0,1945615200.0,3486577400.0,178117680.0,4925428570.0,2914556070.0,2010872500.0,NIIF PLENAS-GRUPO 1,-282035820.0,-165255810.0,-120817620.0,-55560320.0,-65257300.0
291,830006051,DIAGEO COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,6464948150.0,489098710.0,2128798410.0,1458709600.0,670088810.0,6031937950.0,5050380.0,1777687640.0,1591637670.0,186049970.0,NIIF PLENAS-GRUPO 1,433010200.0,484048330.0,351110770.0,-132928070.0,484038840.0
292,890932424,SP INGENIEROS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,1613301600.0,272221000.0,4661512530.0,2021385650.0,2640126880.0,2117007850.0,86961200.0,3701087770.0,1474508270.0,2226579500.0,NIIF PLENAS-GRUPO 1,-503706250.0,185259800.0,960424760.0,546877380.0,413547380.0
293,890903295,Suppla S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,H5210 - Almacenamiento y depósito,SERVICIOS,2496807730.0,182110950.0,1881535080.0,747738270.0,1133796810.0,2342358500.0,36474590.0,2074069650.0,1121204890.0,952864760.0,NIIF PLENAS-GRUPO 1,154449230.0,145636360.0,-192534570.0,-373466620.0,180932050.0
295,800007955,COMMERK SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CANDELARIA-VALLE,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,3267381410.0,338889400.0,1385994150.0,848090220.0,537903930.0,167119910.0,135135120.0,1662283410.0,1295591540.0,366691870.0,NIIF PYMES-GRUPO 2,3100261500.0,203754280.0,-276289260.0,-447501320.0,171212060.0
296,800216499,AGOFER SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",COMERCIO,2800530730.0,59955170.0,2017122910.0,1556001990.0,461120920.0,2447922680.0,41067220.0,1588850010.0,1187684270.0,401165740.0,NIIF PLENAS-GRUPO 1,352608050.0,18887950.0,428272900.0,368317720.0,59955180.0
297,890900168,CERVECERIA UNION S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,"C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",MANUFACTURA,7832273100.0,3132365710.0,14390116560.0,7194234140.0,7195882420.0,9802945610.0,2470901890.0,12307626580.0,5728347840.0,6579278740.0,NIIF PLENAS-GRUPO 1,-1970672510.0,661463820.0,2082489980.0,1465886300.0,616603680.0
298,900106364,TELECENTER PANAMERICANA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,N8220 - Actividades de centros de llamadas (Call center),SERVICIOS,1484588460.0,85844540.0,668170170.0,253338900.0,414831270.0,1404925280.0,46465210.0,1420341450.0,254525420.0,1165816030.0,NIIF PLENAS-GRUPO 1,79663180.0,39379330.0,-752171280.0,-1186520.0,-750984760.0
299,800208146,INVERSIONES ALCABAMA  S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,1899261090.0,247239460.0,1806432380.0,836984510.0,969447870.0,1989227060.0,312611710.0,2468796640.0,1759405460.0,709391180.0,NIIF PYMES-GRUPO 2,-89965970.0,-65372250.0,-662364260.0,-922420950.0,260056690.0
